mode,start_time,end_time,from,to,route,distance,agency,id,duration,transfers,modes
WALK,1723023780000,1723025812000,Origin,Destination,,2437.03,,d36f5090-8f81-4e47-a4e5-021c5c8fbf64,2032,0,['WALK']
WALK,1723024025000,1723024215000,Origin,Pl dels Indians,,140.02,,cb6f0176-0093-43ab-add5-d19611ce8010,1512,0,"['WALK', 'BUS']"
BUS,1723024230000,1723024740000,Pl dels Indians,Espronceda - Gran Via,Pg. Marítim / Canyelles,2098.52,TMB,cb6f0176-0093-43ab-add5-d19611ce8010,1512,0,"['WALK', 'BUS']"
WALK,1723024755000,1723025537000,Espronceda - Gran Via,Destination,,848.61,,cb6f0176-0093-43ab-add5-d19611ce8010,1512,0,"['WALK', 'BUS']"
WALK,1723024075000,1723024401000,Origin,Meridiana - La Sagrera,,347.73,,37048f24-66ff-41a7-94e0-07504a96ead5,1467,0,"['WALK', 'BUS']"
BUS,1723024416000,1723024864000,Meridiana - La Sagrera,Meridiana - Aragó,<M> Clot / Ciutat Meridiana,1551.03,TMB,37048f24-66ff-41a7-94e0-07504a96ead5,1467,0,"['WALK', 'BUS']"
WALK,1723024879000,1723025542000,Meridiana - Aragó,Destination,,694.73,,37048f24-66ff-41a7-94e0-07504a96ead5,1467,0,"['WALK', 'BUS']"
WALK,1723024027000,1723024429000,Origin,La Sagrera,,552.96,,ba29849b-f642-45a1-95ac-0f53968596a3,1573,0,"['WALK', 'SUBWAY']"
SUBWAY,1723024444000,1723024602000,La Sagrera,Clot,Hospital de Bellvitge - Fondo,1357.41,TMB,ba29849b-f642-45a1-95ac-0f53968596a3,1573,0,"['WALK', 'SUBWAY']"
WALK,1723024617000,1723025600000,Clot,Destination,,1008.75,,ba29849b-f642-45a1-95ac-0f53968596a3,1573,0,"['WALK', 'SUBWAY']"
